goos: linux
goarch: amd64
pkg: github.com/StevenPG/demos/go-1-27-json-v2/bench
cpu: Intel(R) Xeon(R) Processor @ 2.10GHz
BenchmarkMarshal/Dynamic/impl=v2-4       	   19980	     60255 ns/op	  79.13 MB/s	    7291 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   20896	     59868 ns/op	  79.64 MB/s	    7290 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   21051	     57219 ns/op	  83.33 MB/s	    7290 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   19537	     62098 ns/op	  76.78 MB/s	    7290 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   18687	     62246 ns/op	  76.60 MB/s	    7291 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   19411	     59876 ns/op	  79.63 MB/s	    7290 B/op	     204 allocs/op
BenchmarkMarshal/Dynamic/impl=v2-4       	   20002	     60140 ns/op	  79.28 MB/s	    7290 B/op	     204 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1061 ns/op	 108.35 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1070 ns/op	 107.51 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1131823	      1051 ns/op	 109.38 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1044 ns/op	 110.13 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1054 ns/op	 109.13 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1074 ns/op	 107.10 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1074 ns/op	 107.10 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1062 ns/op	 108.25 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1068 ns/op	 107.70 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v1-4       	 1000000	      1044 ns/op	 110.17 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1423449	       854.5 ns/op	 134.58 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1400424	       854.7 ns/op	 134.54 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1399664	       846.4 ns/op	 135.88 MB/s	      80 B/op	       1 allocs/op
BenchmarkUnmarshal/Small/impl=v2-4       	 1496085	       803.4 ns/op	 143.15 MB/s	      80 B/op	       1 allocs/op
